name,styleUrl,fill-opacity,fill,stroke-opacity,stroke,stroke-width,icon-offset,icon-offset-units,icon,latitude,longitude
56,#__managed_style_0DBBD3A04338E3725A94,0.25098039215686274,#ffffff,1,#fbc02d,2,"64,128","pixels,insetPixels",https://earth.google.com/earth/document/icon?color=1976d2&id=2000&scale=4,37.97469714221373,23.72233063666696
57,#__managed_style_0DBBD3A04338E3725A94,0.25098039215686274,#ffffff,1,#fbc02d,2,"64,128","pixels,insetPixels",https://earth.google.com/earth/document/icon?color=1976d2&id=2000&scale=4,37.97494048103306,23.72256988680842
58,#__managed_style_0DBBD3A04338E3725A94,0.25098039215686274,#ffffff,1,#fbc02d,2,"64,128","pixels,insetPixels",https://earth.google.com/earth/document/icon?color=1976d2&id=2000&scale=4,37.97523167862447,23.72326410161731
59,#__managed_style_0DBBD3A04338E3725A94,0.25098039215686274,#ffffff,1,#fbc02d,2,"64,128","pixels,insetPixels",https://earth.google.com/earth/document/icon?color=1976d2&id=2000&scale=4,37.97513685340234,23.72268667418982
60,#__managed_style_0DBBD3A04338E3725A94,0.25098039215686274,#ffffff,1,#fbc02d,2,"64,128","pixels,insetPixels",https://earth.google.com/earth/document/icon?color=1976d2&id=2000&scale=4,37.97583311664774,23.72389929264287
61,#__managed_style_0DBBD3A04338E3725A94,0.25098039215686274,#ffffff,1,#fbc02d,2,"64,128","pixels,insetPixels",https://earth.google.com/earth/document/icon?color=1976d2&id=2000&scale=4,37.97535787637799,23.72410120731475
62,#__managed_style_0DBBD3A04338E3725A94,0.25098039215686274,#ffffff,1,#fbc02d,2,"64,128","pixels,insetPixels",https://earth.google.com/earth/document/icon?color=1976d2&id=2000&scale=4,37.97531008302079,23.72404609677033
63,#__managed_style_0DBBD3A04338E3725A94,0.25098039215686274,#ffffff,1,#fbc02d,2,"64,128","pixels,insetPixels",https://earth.google.com/earth/document/icon?color=1976d2&id=2000&scale=4,37.97506133660892,23.72452757300205
64,#__managed_style_0DBBD3A04338E3725A94,0.25098039215686274,#ffffff,1,#fbc02d,2,"64,128","pixels,insetPixels",https://earth.google.com/earth/document/icon?color=1976d2&id=2000&scale=4,37.97507994187699,23.72445674389851
65,#__managed_style_0DBBD3A04338E3725A94,0.25098039215686274,#ffffff,1,#fbc02d,2,"64,128","pixels,insetPixels",https://earth.google.com/earth/document/icon?color=1976d2&id=2000&scale=4,37.97497108144302,23.72421204086
